ID,Date,Time,State,Intensity,Injuries,Fatalities
AB360AC9,6/27/1951,19:30:00,IL,3,35,0
095B28E1,6/27/1951,20:45:00,IL,3,15,1
A81D1FB9,6/27/1951,22:04:00,PA,2,0,0
67916032,7/2/1951,0:15:00,TX,2,0,0
29F76271,7/3/1951,20:00:00,WI,2,0,0
0FE79EFF,7/4/1951,1:00:00,MO,2,1,0
8640FC9A,7/4/1951,21:00:00,KS,0,0,0
A39DF96E,7/6/1951,11:00:00,NC,1,0,0
BCAB368F,7/7/1951,17:30:00,NE,0,0,0
BEA89ED3,7/7/1951,18:00:00,KS,2,0,0
944D725F,7/8/1951,20:00:00,SD,2,1,0
9E16E984,7/8/1951,20:15:00,MO,2,0,0
120E261D,7/9/1951,1:00:00,IN,2,0,0
466AA1FA,7/9/1951,23:45:00,MO,1,0,0
427C8A92,7/13/1951,20:00:00,NE,0,0,0
82294292,7/15/1951,16:20:00,OK,2,0,0
EFAAEED7,7/15/1951,16:20:00,OK,0,0,0
6B3A5BDE,7/15/1951,16:20:00,OK,0,0,0
C024E993,7/17/1951,17:45:00,IA,1,2,0
5F435D8E,7/20/1951,18:15:00,SD,2,4,0
161BD7C1,7/20/1951,21:00:00,MN,3,40,5
A1626909,7/21/1951,11:00:00,PA,0,0,0
38975FD9,7/21/1951,22:00:00,MI,2,0,0
B7AEF185,7/22/1951,0:50:00,KS,2,0,0
331EEBF7,7/22/1951,15:20:00,FL,2,0,0
12004CF7,7/27/1951,15:30:00,OK,1,0,0
F62C4DE1,8/6/1951,15:00:00,KS,0,0,0
56E77A33,8/7/1951,17:00:00,KS,1,0,0
9B070536,8/7/1951,21:30:00,KS,0,0,0
04CABFFF,8/8/1951,15:00:00,NE,1,0,0
F3AAD53D,8/9/1951,11:00:00,NC,2,0,0
ECE6EC92,8/10/1951,13:57:00,OK,1,2,0
6A53A5AA,8/10/1951,15:30:00,NM,0,0,0
85E34F97,8/10/1951,18:30:00,KS,1,0,0
7F73DB69,8/13/1951,2:30:00,KS,1,0,0
98E2C154,8/13/1951,2:30:00,KS,1,0,0
3F79A34E,8/14/1951,15:00:00,ND,1,0,0
5FCD4B9C,8/15/1951,14:00:00,MI,1,0,0
D71ADDB9,8/15/1951,14:00:00,MI,1,0,0
A3334757,8/15/1951,14:30:00,MI,2,0,0
F426A24B,8/20/1951,15:30:00,CT,2,0,0
AAE4040D,8/21/1951,14:00:00,MA,2,0,0
0D56910F,8/21/1951,14:00:00,NH,2,0,0
235F4C07,8/21/1951,16:15:00,CT,2,9,0
9C895ECE,8/21/1951,16:30:00,CT,3,8,0
44EA599D,8/22/1951,15:00:00,LA,1,0,0
1F7357F9,8/23/1951,21:30:00,KS,0,0,0
34861217,8/24/1951,7:30:00,KS,0,0,0
9A68C898,8/24/1951,17:30:00,KS,2,0,0
7C8D9A60,8/26/1951,23:59:00,IA,1,0,0
DAB181A0,8/31/1951,15:50:00,OK,1,0,0
A7A19797,8/31/1951,16:20:00,KS,1,0,0
C113EB81,8/31/1951,16:20:00,KS,1,0,0
1DF5B1BB,9/2/1951,16:15:00,LA,1,0,0
15395E6D,9/9/1951,9:15:00,MS,2,0,0
D85B2B8C,9/9/1951,16:20:00,OK,2,0,0
5E74AD64,9/12/1951,11:30:00,WI,3,1,0
D6BCA489,9/23/1951,21:30:00,KS,0,0,0
C98F222A,9/26/1951,15:45:00,WI,4,3,6
666C5652,9/26/1951,16:30:00,WI,4,9,1
7CCF548A,9/26/1951,21:00:00,MI,2,3,1
98E76399,9/27/1951,10:30:00,LA,2,0,0
D6B0960C,10/21/1951,20:30:00,OK,1,0,0
1AC60E9A,10/23/1951,3:00:00,AR,2,4,0
D7F8E557,11/1/1951,6:40:00,VA,1,0,0
3DB9E5F6,11/1/1951,7:00:00,LA,1,0,0
82469BFD,11/13/1951,13:15:00,IL,2,0,0
2CF84053,11/13/1951,13:30:00,MO,3,1,0
D00E4B93,11/13/1951,14:50:00,IL,2,7,0
2A8099E0,11/13/1951,16:00:00,IN,2,0,0
5D947FBE,11/13/1951,17:50:00,KY,3,11,1
7293A3D8,11/14/1951,22:00:00,TN,2,0,0
1AF654B6,11/15/1951,15:00:00,AL,2,2,0
22A92265,11/15/1951,20:00:00,AL,2,6,0
